liveid,courseid,teacherid,classid,userid,interactionid,isplayback,data,submit_time,device,devicemodel,devicemodel_detail,app_version,dt
812270,99781,22464,1846028,22784925,1743361105509344080,1,"{""type"":""brainScience"",""data"":[{""answer"":1,""cor_position"":32,""time"":2800,""select"":{""accurate"":1,""position"":32,""duration"":1127},""accuracy"":""1.00"",""num"":1,""stage"":1},{""answer"":1,""cor_position"":43,""time"":2800,""select"":{""accurate"":1,""position"":43,""duration"":1177},""accuracy"":""1.00"",""num"":2,""stage"":1},{""answer"":1,""cor_position"":33,""time"":2800,""select"":{""accurate"":1,""position"":33,""duration"":655},""accuracy"":""1.00"",""num"":3,""stage"":1},{""answer"":1,""cor_position"":41,""time"":2800,""select"":{""accurate"":1,""position"":41,""duration"":908},""accuracy"":""1.00"",""num"":4,""stage"":1},{""answer"":1,""cor_position"":null,""time"":2800,""select"":{""accurate"":1,""position"":null,""duration"":908},""accuracy"":""1.00"",""num"":5,""stage"":2},{""answer"":1,""cor_position"":51,""time"":2800,""select"":{""accurate"":1,""position"":51,""duration"":844},""accuracy"":""1.00"",""num"":6,""stage"":2},{""answer"":0,""cor_position"":22,""time"":2800,""select"":{""accurate"":0,""position"":null,""duration"":844},""accuracy"":""1.00"",""num"":7,""stage"":2},{""answer"":1,""cor_position"":null,""time"":2800,""select"":{""accurate"":1,""position"":null,""duration"":844},""accuracy"":""1.00"",""num"":8,""stage"":2}]}",2021-01-19 20:50:29,iOS,iPad,"iPad7,3",81506,20210119
816077,100893,43944,1255432,55752223,3215160984624864086,0,"{""type"":""brainScience"",""data"":[{""num"":1,""stage"":1,""time"":1555,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""22""],""select"":[{""click_position"":""22"",""duration"":1551,""accurate"":1}]},{""num"":2,""stage"":1,""time"":1454,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""13""],""select"":[{""click_position"":""13"",""duration"":1453,""accurate"":1}]},{""num"":3,""stage"":1,""time"":1148,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""13""],""select"":[{""click_position"":""13"",""duration"":1146,""accurate"":1}]},{""num"":4,""stage"":1,""time"":1190,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""13""],""select"":[{""click_position"":""13"",""duration"":1188,""accurate"":1}]},{""num"":5,""stage"":1,""time"":1441,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""24""],""select"":[{""click_position"":""24"",""duration"":1438,""accurate"":1}]},{""num"":6,""stage"":1,""time"":1405,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""25""],""select"":[{""click_position"":""25"",""duration"":1403,""accurate"":1}]},{""num"":7,""stage"":2,""time"":1402,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""35""],""select"":[{""click_position"":""35"",""duration"":1401,""accurate"":1}]},{""num"":8,""stage"":2,""time"":1663,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""35""],""select"":[{""click_position"":""35"",""duration"":1661,""accurate"":1}]},{""num"":9,""stage"":2,""time"":1444,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""32""],""select"":[{""click_position"":""32"",""duration"":1442,""accurate"":1}]},{""num"":10,""stage"":2,""time"":1605,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""23""],""select"":[{""click_position"":""23"",""duration"":1602,""accurate"":1}]},{""num"":11,""stage"":2,""time"":2219,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""15""],""select"":[{""click_position"":""15"",""duration"":2218,""accurate"":1}]},{""num"":12,""stage"":2,""time"":1753,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""23""],""select"":[{""click_position"":""23"",""duration"":1752,""accurate"":1}]},{""num"":13,""stage"":3,""time"":1495,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""16""],""select"":[{""click_position"":""16"",""duration"":1494,""accurate"":1}]},{""num"":14,""stage"":3,""time"":2373,""answer"":1,""accuracy"":""1.00"",""isempty"":0,""cor_position"":[""13""],""select"":[{""click_position"":""13"",""duration"":2372,""accurate"":1}]}]}",2021-01-05 19:32:44,Android,,PBEM00,81503,20210105
811978,99768,15316,1102674,64121032,2129560837689737372,1,"{""type"":""brainScience"",""data"":[{""num"":1,""stage"":1,""answer"":1,""accuracy"":1,""time"":1899,""itemObj"":[{""position"":{""x"":1725.67,""y"":242.72},""accurate"":1,""duration"":1898}],""cor_position"":{""x"":1725.67,""y"":242.72}},{""num"":2,""stage"":2,""answer"":1,""accuracy"":1,""time"":751,""itemObj"":[{""position"":{""x"":563.89,""y"":172},""accurate"":1,""duration"":751}],""cor_position"":{""x"":563.89,""y"":172}},{""num"":3,""stage"":3,""answer"":1,""accuracy"":1,""time"":482,""itemObj"":[{""position"":{""x"":666.78,""y"":888.55},""accurate"":1,""duration"":482}],""cor_position"":{""x"":666.78,""y"":888.55}}]}",2021-02-26 11:28:40,Android,,HLK-AL00,81703,20210226
812270,99781,22464,1792481,32203285,1743361105509344080,0,"{""type"":""brainScience"",""data"":[{""answer"":0,""cor_position"":41,""time"":2800,""select"":{""accurate"":0,""position"":null,""duration"":0},""accuracy"":""0.00"",""num"":1,""stage"":1},{""answer"":1,""cor_position"":null,""time"":2800,""select"":{""accurate"":1,""position"":null,""duration"":0},""accuracy"":""0.50"",""num"":2,""stage"":1},{""answer"":1,""cor_position"":42,""time"":2800,""select"":{""accurate"":1,""position"":42,""duration"":1295},""accuracy"":""0.67"",""num"":3,""stage"":1},{""answer"":1,""cor_position"":32,""time"":2800,""select"":{""accurate"":1,""position"":32,""duration"":1026},""accuracy"":""0.75"",""num"":4,""stage"":1},{""answer"":1,""cor_position"":22,""time"":2800,""select"":{""accurate"":1,""position"":22,""duration"":1284},""accuracy"":""1.00"",""num"":5,""stage"":2},{""answer"":1,""cor_position"":52,""time"":2800,""select"":{""accurate"":1,""position"":52,""duration"":815},""accuracy"":""1.00"",""num"":6,""stage"":2},{""answer"":1,""cor_position"":null,""time"":2800,""select"":{""accurate"":1,""position"":null,""duration"":815},""accuracy"":""1.00"",""num"":7,""stage"":2},{""answer"":1,""cor_position"":51,""time"":2800,""select"":{""accurate"":1,""position"":51,""duration"":1973},""accuracy"":""1.00"",""num"":8,""stage"":2}]}",2021-01-19 19:19:35,iOS,iPad,"iPad5,1",81502,20210119
876572,106587,15316,1257773,20738288,414461191837331044,0,"{""type"":""brainScience"",""data"":[]}",2021-01-29 19:06:17,Android,,SCM-W09,81603,20210129
816087,,43944,1255436,57518172,2123061433899907568,0,"{""type"":""brainScience"",""data"":[{""num"":1,""stage"":1,""answer"":0,""accuracy"":0,""time"":2553,""itemObj"":[{""position"":{""x"":791.63,""y"":983.68},""accurate"":0,""duration"":390},{""position"":{""x"":1226.08,""y"":528.55},""accurate"":1,""duration"":2551}],""cor_position"":{""x"":1226.08,""y"":528.55}},{""num"":2,""stage"":2,""answer"":1,""accuracy"":0.5,""time"":16,""itemObj"":[{""position"":{""x"":772.35,""y"":503.66},""accurate"":1,""duration"":15}],""cor_position"":{""x"":772.35,""y"":503.66}},{""num"":3,""stage"":3,""answer"":1,""accuracy"":0.67,""time"":386,""itemObj"":[{""position"":{""x"":1209.91,""y"":958.08},""accurate"":1,""duration"":385}],""cor_position"":{""x"":1209.91,""y"":958.08}}]}",2021-02-26 19:31:00,Android,,BEETHOVEN,81703,20210226
812267,99781,22464,1102661,62484668,3215161010513245964,1,"{""type"":""brainScience"",""data"":[]}",2021-02-15 11:56:55,iOS,iPad,"iPad11,2",81706,20210215
878722,106874,52428,1783257,59689044,2131161010650420858,0,"{""type"":""brainScience"",""data"":[{""select"":[{""release"":0,""accurate"":1,""out"":0,""pnum"":1,""duration"":289},{""release"":0,""accurate"":1,""out"":0,""pnum"":2,""duration"":249},{""release"":1,""accurate"":1,""out"":1,""pnum"":3,""duration"":1812},{""release"":0,""accurate"":1,""out"":0,""pnum"":4,""duration"":440}],""num"":1,""period"":4,""accuracy"":1,""time"":8216}]}",2021-01-08 19:49:02,iOS,iPad,"iPad7,6",81506,20210108
812213,99778,15006,1255243,50709716,2722261528936866774,0,"{""type"":""brainScience"",""data"":[{""select"":[{""accurate"":0,""duration"":12186},{""accurate"":1,""duration"":24846}],""top_click"":0,""answer"":0,""time"":29241,""times"":2,""buttom_click"":2,""accuracy"":""0.00"",""num"":1},{""select"":[{""accurate"":1,""duration"":3322}],""top_click"":0,""answer"":1,""time"":7714,""times"":1,""buttom_click"":1,""accuracy"":""0.50"",""num"":2},{""select"":[{""accurate"":1,""duration"":4856}],""top_click"":0,""answer"":1,""time"":9230,""times"":1,""buttom_click"":1,""accuracy"":""0.67"",""num"":3}]}",2021-03-09 19:30:45,iOS,iPad,"iPad5,3",81708,20210309
812017,99769,15316,1255038,1102458,234261580151789888,0,"{""type"":""brainScience"",""data"":[{""answer"":0,""cor_position"":[""23""],""time"":2764,""select"":[{""accurate"":0,""click_position"":""32"",""duration"":2761}],""isempty"":1,""accuracy"":""0.00"",""num"":1,""stage"":1},{""answer"":1,""cor_position"":[""14""],""time"":2515,""select"":[{""accurate"":1,""click_position"":""14"",""duration"":2514}],""isempty"":0,""accuracy"":""0.50"",""num"":2,""stage"":1},{""answer"":1,""cor_position"":[""15""],""time"":1876,""select"":[{""accurate"":1,""click_position"":""15"",""duration"":1876}],""isempty"":0,""accuracy"":""0.67"",""num"":3,""stage"":1},{""answer"":1,""cor_position"":[""14""],""time"":2047,""select"":[{""accurate"":1,""click_position"":""14"",""duration"":2047}],""isempty"":0,""accuracy"":""0.75"",""num"":4,""stage"":1},{""answer"":1,""cor_position"":[""14""],""time"":3319,""select"":[{""accurate"":1,""click_position"":""14"",""duration"":3318}],""isempty"":0,""accuracy"":""0.80"",""num"":5,""stage"":1},{""answer"":0,""cor_position"":[""32""],""time"":2118,""select"":[{""accurate"":0,""click_position"":""33"",""duration"":2118}],""isempty"":1,""accuracy"":""0.67"",""num"":6,""stage"":1},{""answer"":1,""cor_position"":[""15""],""time"":2834,""select"":[{""accurate"":1,""click_position"":""15"",""duration"":2834}],""isempty"":0,""accuracy"":""0.71"",""num"":7,""stage"":1},{""answer"":1,""cor_position"":[""34""],""time"":1514,""select"":[{""accurate"":1,""click_position"":""34"",""duration"":1513}],""isempty"":0,""accuracy"":""1.00"",""num"":8,""stage"":2},{""answer"":1,""cor_position"":[""25""],""time"":1677,""select"":[{""accurate"":1,""click_position"":""25"",""duration"":1676}],""isempty"":0,""accuracy"":""1.00"",""num"":9,""stage"":2},{""answer"":1,""cor_position"":[""16""],""time"":1407,""select"":[{""accurate"":1,""click_position"":""16"",""duration"":1407}],""isempty"":0,""accuracy"":""1.00"",""num"":10,""stage"":2},{""answer"":1,""cor_position"":[""13""],""time"":2006,""select"":[{""accurate"":1,""click_position"":""13"",""duration"":2006}],""isempty"":0,""accuracy"":""1.00"",""num"":11,""stage"":2},{""answer"":1,""cor_position"":[""12""],""time"":2243,""select"":[{""accurate"":1,""click_position"":""12"",""duration"":2243}],""isempty"":0,""accuracy"":""1.00"",""num"":12,""stage"":3},{""answer"":1,""cor_position"":[""24""],""time"":1967,""select"":[{""accurate"":1,""click_position"":""24"",""duration"":1966}],""isempty"":0,""accuracy"":""1.00"",""num"":13,""stage"":3}]}",2021-03-15 17:46:54,iOS,iPad,"iPad8,11",90012,20210315
