plan_id,class_id,course_ware_id,package_id,page_id,order_id,interaction_id,stu_id,test_id,is_playback,is_force,submit_time,ability,subability,typea,typeb,difficulty_level,total_correct,total_incorrect,correct_click,incorrect_click,score,dt
812072,1760656,115153,5209548,5955145,0,154561096812585890,60373292,1,0,0,2021-01-18 19:09:20.0,视动能力,手眼配合训练,400,402,1,3,0,,,100,2021-02-19
878711,1699187,141640,5762897,6538501,0,2626561502993944354,61674670,1,0,0,2021-03-06 19:26:50.0,语音意识,韵脚辨识训练,100,102,1,3,0,,,100,2021-03-10
816094,2279727,124113,6056193,6856605,0,898861649789715456,9151224,1,0,0,2021-03-23 19:12:57.0,注意力,注意抑制训练,500,504,1,13,0,13,0,100,2021-03-24
812244,1255335,122828,5061670,5798982,0,3215160976013723158,9940698,1,1,0,2021-02-02 19:01:31.0,注意力,注意搜索训练,500,501,1,7,1,14,1,95.00,2021-02-19
811996,1254843,126163,5939757,6731602,0,206461623913568172,48932993,1,0,0,2021-03-20 19:20:24.0,语音意识,声调辨识训练,100,101,2,3,0,,,100,2021-03-24
816079,2203432,111834,5138950,5880390,0,816461045020835358,64200161,1,1,0,2021-02-03 19:41:51.0,视动能力,手眼配合训练,400,402,3,9,0,,,100,2021-02-19
812251,1255349,117656,5403310,6158325,0,231161183441076100,48213552,1,0,0,2021-01-28 19:47:26.0,视动能力,手眼配合训练,400,402,1,6,0,,,100,2021-02-19
812260,1255347,125461,5956243,6749407,0,949761606836545340,24488609,1,0,0,2021-03-18 19:53:37.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-03-24
816086,1255464,120286,5465048,6223720,0,442361252471621570,21310151,1,0,0,2021-02-05 19:33:39.0,注意力,注意抑制训练,500,504,1,13,0,13,0,100,2021-02-19
812012,2245526,120372,5560308,6324363,0,1865661424728061996,56160731,1,0,1,2021-02-25 18:02:57.0,视动能力,空间位置判断训练,400,403,2,2,0,,,100,2021-03-03
812000,1254999,110771,4867624,5585188,0,3215260819908112900,60024665,1,0,0,2020-12-17 17:59:50.0,注意力,注意广度训练,500,503,1,14,1,14,1,101.6,2021-02-19
910245,2213344,125196,5907626,6695912,0,234361597964080330,3215640,1,0,0,2021-03-17 19:15:52.0,注意力,注意广度训练,500,503,3,11,3,11,2,84.6,2021-03-17
