fk_course,fk_plan,fk_teacher_teacher,teacher_name,language_type,fk_student,fk_test,origin_test_id,interaction_id,course_ware_id,package_id,package_name,page_id,order_id,data_source,test_type,test_type_desc,is_answer,answer_time,is_force,is_right,total_blank_nums,right_blank_nums,right_ratio,score,submit_time,etl_time,dt,年级,讲次
100893,816083,43944,杨洋,1.0,55125895,308061166158764566_6020170,1,308061166158764566,117007,5272784,30,6020170,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,22.0,0.0,1.0,1.0,1.0,100.0,,2021-01-26 19:46:50,2021-01-27 05:08:39.612,20210126,大,10
99781,878714,52428,罗澜,1.0,65066812,586261598005223896_6697507,1,586261598005223896,125335,5909077,游戏三：脑科学：注意定向-两岸的声音,6697507,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,74.0,0.0,1.0,8.0,8.0,100.0,,2021-03-17 19:22:08,2021-03-18 05:34:22.245,20210317,中,19
99781,812275,22464,张智超,1.0,61997450,2091061252405794398_6256882,1,2091061252405794398,119208,5496346,游戏三：射箭游戏（点选套题）,6256882,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,0,,,,,,,,,2021-02-06 05:57:35.352,20210205,中,13
99780,812243,15006,关艺,1.0,8890949,2131160855149128802_5615873,1,2131160855149128802,112898,4895009,17,5615873,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,15.0,0.0,1.0,1.0,1.0,100.0,,2020-12-21 19:51:49,2020-12-22 05:32:38.944,20201221,中,3
99780,812262,15006,关艺,1.0,57561178,951261667261226988_6891362,1,951261667261226988,133373,6088223,互动游戏（三) 脑科学比一比,6891362,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,86.0,0.0,2.0,4.0,3.0,75.0,,2021-03-25 19:45:01,2021-03-26 05:37:06.397,20210325,中,22
99772,812086,22464,张智超,1.0,51680932,2031161667112413268_6881804,1,2031161667112413268,129978,6079393,游戏三：阿丘障碍赛马（包装替换）,6881804,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,85.0,0.0,1.0,1.0,1.0,100.0,,2021-03-25 19:20:11,2021-03-26 05:37:06.397,20210325,大,22
99772,812080,22464,张智超,1.0,3881750,2123361485807724840_6531270,1,2123361485807724840,122101,5756050,28,6531270,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,32.0,0.0,1.0,1.0,1.0,100.0,,2021-03-04 19:41:51,2021-03-05 05:18:29.998,20210304,大,16
99772,812084,22464,张智超,1.0,24988813,1003061606704375978_6731604,1,1003061606704375978,126163,5939759,游戏三：脑科学：手眼配合—春风垂柳,6731604,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,51.0,0.0,1.0,2.0,2.0,100.0,,2021-03-18 19:31:36,2021-03-19 05:27:46.087,20210318,大,20
99778,812214,15006,关艺,1.0,59705862,923061554834743964_6636971,1,923061554834743964,123110,5853462,游戏二：抓娃娃,6636971,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,39.0,0.0,1.0,2.0,2.0,100.0,,2021-03-12 19:26:29,2021-03-17 11:45:37.371,20210312,中,18
100895,816118,34447,王旭晖,1.0,17688501,2129560811716196404_5581867,1,2129560811716196404,113893,4864584,白日依山尽,5581867,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,30.0,0.0,1.0,1.0,1.0,100.0,,2020-12-16 19:13:15,2020-12-17 05:52:12.558,20201216,中,1
99771,812059,22464,张智超,1.0,52415059,233761537497402458_6576662,1,233761537497402458,124159,5798069,季节场景拖拽,6576662,0,ods_live_edc_xes_edc_online_answer_logs,5,游戏,1,22.0,0.0,1.0,1.0,1.0,100.0,,2021-03-10 19:16:37,2021-03-11 05:20:21.594,20210310,大,17
99772,812082,22464,张智超,1.0,62036872,234261546103180072_6625867,1,234261546103180072,122174,5843229,游戏三：脑科学：注意抑制—季节景色,6625867,0,ods_live_edc_xes_edc_online_answer_logs,42,脑科学,1,101.0,0.0,1.0,3.0,3.0,100.0,,2021-03-11 19:12:13,2021-03-12 05:21:16.009,20210311,大,18
